trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
151,False,"{'a': 0.5, 'e': 0.46912134373457726}",35,22,-29.577071176539736,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
152,False,"{'a': 0.5, 'e': 0.46677573701590436}",30,11,-27.802815351679556,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
153,False,"{'a': 0.5, 'e': 0.46444185833082485}",25,15,-29.077342788376633,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
154,False,"{'a': 0.5, 'e': 0.46211964903917074}",20,0,-38.11767728917009,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.4598090507939749}",25,10,-53.39778721131826,"{0: 10, 1: 0, 2: 3, 3: 2, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.457510005540005}",25,0,-56.21438961792214,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
157,False,"{'a': 0.5, 'e': 0.45522245551230495}",25,6,-53.125950594980246,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 1}",1
158,False,"{'a': 0.5, 'e': 0.4529463432347434}",20,0,-49.557179852272746,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
159,False,"{'a': 0.5, 'e': 0.4506816115185697}",30,0,-60.035763565877204,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
160,False,"{'a': 0.5, 'e': 0.4484282034609769}",20,0,-13.723292111633938,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.446186062443672}",20,13,-35.341425781302306,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
162,False,"{'a': 0.5, 'e': 0.4439551321314536}",25,0,-69.6890488038797,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
163,False,"{'a': 0.5, 'e': 0.4417353564707963}",25,0,-52.56809553830381,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.43952667968844233}",20,8,-35.022364292128316,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
165,False,"{'a': 0.5, 'e': 0.43732904629000013}",30,16,-51.89608251955266,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
166,False,"{'a': 0.5, 'e': 0.4351424010585501}",20,16,8.324869139375675,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.43296668905325736}",20,10,18.21803122017495,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.43080185560799106}",20,0,-108.07880081501258,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
169,False,"{'a': 0.5, 'e': 0.4286478463299511}",30,19,-20.27275280620786,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
170,False,"{'a': 0.5, 'e': 0.42650460709830135}",25,14,-35.795642782768425,"{0: 8, 1: 1, 2: 0, 3: 2, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.42437208406280985}",35,9,-11.208625811211377,"{0: 20, 1: 4, 2: 2, 3: 0, 4: 0}",1
